"job_id","job_title","job_location","name","salary_year_avg","skills"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","sql"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","python"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","r"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","azure"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","databricks"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","aws"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","pandas"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","pyspark"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","jupyter"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","excel"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","tableau"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","power bi"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","powerpoint"
99305,"Data Analyst, Marketing","Anywhere","Pinterest Job Advertisements","232423.0","sql"
99305,"Data Analyst, Marketing","Anywhere","Pinterest Job Advertisements","232423.0","python"
99305,"Data Analyst, Marketing","Anywhere","Pinterest Job Advertisements","232423.0","r"
99305,"Data Analyst, Marketing","Anywhere","Pinterest Job Advertisements","232423.0","hadoop"
99305,"Data Analyst, Marketing","Anywhere","Pinterest Job Advertisements","232423.0","tableau"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Uclahealthcareers","217000.0","sql"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Uclahealthcareers","217000.0","crystal"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Uclahealthcareers","217000.0","oracle"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Uclahealthcareers","217000.0","tableau"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Uclahealthcareers","217000.0","flow"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","sql"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","python"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","go"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","snowflake"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","pandas"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","numpy"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","excel"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","tableau"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","gitlab"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","sql"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","python"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","azure"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","aws"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","oracle"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","snowflake"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","tableau"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","power bi"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","sap"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","jenkins"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","bitbucket"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","atlassian"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","jira"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","confluence"
310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Motional","189000.0","sql"
310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Motional","189000.0","python"
310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Motional","189000.0","r"
310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Motional","189000.0","git"
